revision,layer,P1,P2
step64,0,0.99951171875,0.99951171875
step64,1,0.9659423828125,0.9921875
step64,2,0.927001953125,0.98779296875
step64,3,0.8929443359375,0.98583984375
step64,4,0.873046875,0.984375
step64,5,0.8592529296875,0.98486328125
step64,6,0.8507080078125,0.98486328125
step64,7,0.84619140625,0.98583984375
step64,8,0.8529052734375,0.9873046875
step64,9,0.8604736328125,0.9892578125
step64,10,0.8717041015625,0.98974609375
step64,11,0.8858642578125,0.9912109375
step64,12,0.8966064453125,0.9931640625
step64,13,0.906494140625,0.99462890625
step64,14,0.917236328125,0.99462890625
step64,15,0.9281005859375,0.99609375
step64,16,0.9381103515625,0.99755859375
step256,0,1.0,1.0
step256,1,0.9598388671875,0.9921875
step256,2,0.8958740234375,0.98681640625
step256,3,0.8555908203125,0.9873046875
step256,4,0.795166015625,0.98291015625
step256,5,0.759521484375,0.9833984375
step256,6,0.736328125,0.9833984375
step256,7,0.7213134765625,0.9833984375
step256,8,0.694091796875,0.98291015625
step256,9,0.678466796875,0.98193359375
step256,10,0.6573486328125,0.98193359375
step256,11,0.6534423828125,0.982421875
step256,12,0.6685791015625,0.98291015625
step256,13,0.691650390625,0.98486328125
step256,14,0.7041015625,0.9853515625
step256,15,0.715576171875,0.986328125
step256,16,0.721435546875,0.986328125
step1000,0,0.99951171875,0.99951171875
step1000,1,0.962890625,0.99462890625
step1000,2,0.93310546875,0.92822265625
step1000,3,0.9267578125,0.9384765625
step1000,4,0.85693359375,0.78857421875
step1000,5,0.8138427734375,0.80029296875
step1000,6,0.7772216796875,0.83544921875
step1000,7,0.7440185546875,0.85302734375
step1000,8,0.71337890625,0.8642578125
step1000,9,0.7042236328125,0.86865234375
step1000,10,0.669921875,0.87890625
step1000,11,0.656982421875,0.88232421875
step1000,12,0.6644287109375,0.88623046875
step1000,13,0.6673583984375,0.8896484375
step1000,14,0.6575927734375,0.896484375
step1000,15,0.656982421875,0.9013671875
step1000,16,0.6220703125,0.90478515625
step3000,0,0.99951171875,0.99951171875
step3000,1,0.9375,0.99365234375
step3000,2,0.931640625,0.814453125
step3000,3,0.9254150390625,0.81298828125
step3000,4,0.866455078125,0.71484375
step3000,5,0.845947265625,0.69091796875
step3000,6,0.8294677734375,0.72412109375
step3000,7,0.79443359375,0.75048828125
step3000,8,0.7392578125,0.77880859375
step3000,9,0.7265625,0.79248046875
step3000,10,0.6514892578125,0.818359375
step3000,11,0.62255859375,0.82080078125
step3000,12,0.6123046875,0.81982421875
step3000,13,0.5970458984375,0.82568359375
step3000,14,0.5643310546875,0.83935546875
step3000,15,0.5946044921875,0.87353515625
step3000,16,0.6278076171875,0.90087890625
step18000,0,0.99951171875,0.99951171875
step18000,1,0.989013671875,0.9521484375
step18000,2,0.9761962890625,0.81201171875
step18000,3,0.9644775390625,0.75634765625
step18000,4,0.934326171875,0.71484375
step18000,5,0.916015625,0.69970703125
step18000,6,0.9061279296875,0.7216796875
step18000,7,0.88720703125,0.74267578125
step18000,8,0.8543701171875,0.76171875
step18000,9,0.853271484375,0.7880859375
step18000,10,0.8173828125,0.78955078125
step18000,11,0.8045654296875,0.79150390625
step18000,12,0.7896728515625,0.81298828125
step18000,13,0.7957763671875,0.8369140625
step18000,14,0.794921875,0.86328125
step18000,15,0.80859375,0.8857421875
step18000,16,0.620849609375,0.80712890625
step48000,0,1.0,1.0
step48000,1,0.9949951171875,0.93017578125
step48000,2,0.9840087890625,0.8466796875
step48000,3,0.9715576171875,0.79931640625
step48000,4,0.9595947265625,0.78955078125
step48000,5,0.9490966796875,0.76171875
step48000,6,0.9400634765625,0.7646484375
step48000,7,0.921142578125,0.7841796875
step48000,8,0.8935546875,0.802734375
step48000,9,0.9053955078125,0.8369140625
step48000,10,0.8880615234375,0.85205078125
step48000,11,0.882568359375,0.84765625
step48000,12,0.867919921875,0.8564453125
step48000,13,0.8726806640625,0.88232421875
step48000,14,0.8692626953125,0.900390625
step48000,15,0.8726806640625,0.91455078125
step48000,16,0.6590576171875,0.796875
step78000,0,1.0,1.0
step78000,1,0.993408203125,0.89404296875
step78000,2,0.9766845703125,0.7919921875
step78000,3,0.958740234375,0.74755859375
step78000,4,0.9375,0.75927734375
step78000,5,0.9173583984375,0.7470703125
step78000,6,0.902099609375,0.7490234375
step78000,7,0.8868408203125,0.740234375
step78000,8,0.8707275390625,0.7451171875
step78000,9,0.8839111328125,0.783203125
step78000,10,0.8717041015625,0.80615234375
step78000,11,0.857666015625,0.79443359375
step78000,12,0.832763671875,0.80078125
step78000,13,0.83740234375,0.83203125
step78000,14,0.829833984375,0.85302734375
step78000,15,0.8377685546875,0.876953125
step78000,16,0.59130859375,0.771484375
step108000,0,0.9990234375,0.9990234375
step108000,1,0.992919921875,0.8720703125
step108000,2,0.9755859375,0.7470703125
step108000,3,0.9566650390625,0.67578125
step108000,4,0.932373046875,0.689453125
step108000,5,0.9088134765625,0.7001953125
step108000,6,0.8970947265625,0.73291015625
step108000,7,0.8824462890625,0.72265625
step108000,8,0.862060546875,0.73681640625
step108000,9,0.8824462890625,0.771484375
step108000,10,0.87060546875,0.79931640625
step108000,11,0.854736328125,0.79150390625
step108000,12,0.8382568359375,0.80810546875
step108000,13,0.8492431640625,0.849609375
step108000,14,0.8428955078125,0.87060546875
