revision,layer,P1,P2
step64,0,0.99951171875,0.99951171875
step64,1,0.964599609375,0.99912109375
step64,2,0.926513671875,0.9994140625
step64,3,0.8984375,0.99873046875
step64,4,0.8731689453125,0.99912109375
step64,5,0.8565673828125,0.9990234375
step64,6,0.8406982421875,0.99931640625
step64,7,0.83642578125,0.99892578125
step64,8,0.833984375,0.99931640625
step64,9,0.8370361328125,0.9990234375
step64,10,0.8453369140625,0.999609375
step64,11,0.8560791015625,0.99951171875
step64,12,0.868896484375,0.9994140625
step64,13,0.88037109375,0.999609375
step64,14,0.89501953125,0.9998046875
step64,15,0.9083251953125,1.00009765625
step64,16,0.921142578125,1.0
step256,0,0.99951171875,0.99951171875
step256,1,0.9622802734375,0.99912109375
step256,2,0.9163818359375,0.99931640625
step256,3,0.884765625,0.99892578125
step256,4,0.84375,0.99609375
step256,5,0.8145751953125,0.9958984375
step256,6,0.7877197265625,0.9962890625
step256,7,0.7708740234375,0.99560546875
step256,8,0.7442626953125,0.9951171875
step256,9,0.7440185546875,0.9958984375
step256,10,0.7437744140625,0.99609375
step256,11,0.7481689453125,0.99619140625
step256,12,0.7650146484375,0.99619140625
step256,13,0.7783203125,0.99638671875
step256,14,0.787353515625,0.9966796875
step256,15,0.7945556640625,0.99716796875
step256,16,0.7994384765625,0.9974609375
step1000,0,1.0,1.0
step1000,1,0.9686279296875,0.999609375
step1000,2,0.947998046875,0.96552734375
step1000,3,0.9375,0.9705078125
step1000,4,0.885986328125,0.79130859375
step1000,5,0.8433837890625,0.8150390625
step1000,6,0.8089599609375,0.84892578125
step1000,7,0.78564453125,0.86748046875
step1000,8,0.77001953125,0.88515625
step1000,9,0.758056640625,0.88984375
step1000,10,0.7352294921875,0.89873046875
step1000,11,0.726318359375,0.90205078125
step1000,12,0.7242431640625,0.90810546875
step1000,13,0.71435546875,0.9115234375
step1000,14,0.7001953125,0.91591796875
step1000,15,0.687255859375,0.92275390625
step1000,16,0.66357421875,0.92451171875
step3000,0,0.99951171875,0.99951171875
step3000,1,0.9833984375,0.99931640625
step3000,2,0.9632568359375,0.909375
step3000,3,0.9464111328125,0.90595703125
step3000,4,0.91943359375,0.81923828125
step3000,5,0.894287109375,0.81240234375
step3000,6,0.85791015625,0.82314453125
step3000,7,0.819091796875,0.83037109375
step3000,8,0.7933349609375,0.84384765625
step3000,9,0.7811279296875,0.848046875
step3000,10,0.730712890625,0.8765625
step3000,11,0.7186279296875,0.88125
step3000,12,0.7171630859375,0.891015625
step3000,13,0.698974609375,0.89267578125
step3000,14,0.6981201171875,0.90439453125
step3000,15,0.7235107421875,0.92763671875
step3000,16,0.75048828125,0.94150390625
step18000,0,0.99951171875,0.99951171875
step18000,1,0.9901123046875,0.98798828125
step18000,2,0.9815673828125,0.93447265625
step18000,3,0.9703369140625,0.91923828125
step18000,4,0.948974609375,0.85771484375
step18000,5,0.9442138671875,0.83681640625
step18000,6,0.933837890625,0.83408203125
step18000,7,0.92431640625,0.86396484375
step18000,8,0.9031982421875,0.8896484375
step18000,9,0.9041748046875,0.90322265625
step18000,10,0.8670654296875,0.91748046875
step18000,11,0.856201171875,0.91630859375
step18000,12,0.854248046875,0.92421875
step18000,13,0.8468017578125,0.931640625
step18000,14,0.8209228515625,0.938671875
step18000,15,0.8170166015625,0.94921875
step18000,16,0.7177734375,0.93310546875
step48000,0,0.99951171875,0.99951171875
step48000,1,0.9901123046875,0.959765625
step48000,2,0.9822998046875,0.9177734375
step48000,3,0.9678955078125,0.891796875
step48000,4,0.94873046875,0.8568359375
step48000,5,0.9464111328125,0.8490234375
step48000,6,0.9385986328125,0.8576171875
step48000,7,0.932861328125,0.87822265625
step48000,8,0.91845703125,0.90126953125
step48000,9,0.9151611328125,0.91376953125
step48000,10,0.8812255859375,0.92197265625
step48000,11,0.8685302734375,0.9212890625
step48000,12,0.8717041015625,0.93310546875
step48000,13,0.8743896484375,0.94482421875
