word,revision,layer,P1,P2
mahavamsa,step64,0,1.0,1.0
mahavamsa,step64,1,0.9611002604166666,0.91240234375
mahavamsa,step64,2,0.9119466145833334,0.86796875
mahavamsa,step64,3,0.8707682291666666,0.85
mahavamsa,step64,4,0.8356119791666666,0.83388671875
mahavamsa,step64,5,0.8098958333333334,0.82998046875
mahavamsa,step64,6,0.7843424479166666,0.831640625
mahavamsa,step64,7,0.77783203125,0.8384765625
mahavamsa,step64,8,0.7667643229166666,0.84677734375
mahavamsa,step64,9,0.7649739583333334,0.85478515625
mahavamsa,step64,10,0.765625,0.86748046875
mahavamsa,step64,11,0.7693684895833334,0.8818359375
mahavamsa,step64,12,0.7801106770833334,0.89296875
mahavamsa,step64,13,0.79296875,0.90537109375
mahavamsa,step64,14,0.8098958333333334,0.91787109375
mahavamsa,step64,15,0.8282877604166666,0.92890625
mahavamsa,step64,16,0.8499348958333334,0.9396484375
paralympic,step64,0,0.99951171875,0.99951171875
paralympic,step64,1,0.9459228515625,0.97421875
paralympic,step64,2,0.8946533203125,0.96142578125
paralympic,step64,3,0.864013671875,0.954296875
paralympic,step64,4,0.8492431640625,0.9541015625
paralympic,step64,5,0.8218994140625,0.9509765625
paralympic,step64,6,0.800537109375,0.950390625
paralympic,step64,7,0.7933349609375,0.9501953125
paralympic,step64,8,0.7916259765625,0.9525390625
paralympic,step64,9,0.785400390625,0.95322265625
paralympic,step64,10,0.7923583984375,0.9572265625
paralympic,step64,11,0.802001953125,0.96025390625
paralympic,step64,12,0.8162841796875,0.96455078125
paralympic,step64,13,0.83251953125,0.969140625
paralympic,step64,14,0.8507080078125,0.97333984375
paralympic,step64,15,0.8692626953125,0.97724609375
paralympic,step64,16,0.8875732421875,0.9810546875
sandefjord,step64,0,1.0,1.0
sandefjord,step64,1,0.9627685546875,0.98720703125
sandefjord,step64,2,0.925048828125,0.98330078125
sandefjord,step64,3,0.89111328125,0.98076171875
sandefjord,step64,4,0.8616943359375,0.9796875
sandefjord,step64,5,0.8358154296875,0.979296875
sandefjord,step64,6,0.822998046875,0.979296875
sandefjord,step64,7,0.816650390625,0.980078125
sandefjord,step64,8,0.81396484375,0.98193359375
sandefjord,step64,9,0.812255859375,0.98427734375
sandefjord,step64,10,0.8170166015625,0.98583984375
sandefjord,step64,11,0.82421875,0.98681640625
sandefjord,step64,12,0.835205078125,0.98837890625
sandefjord,step64,13,0.8515625,0.990234375
sandefjord,step64,14,0.865966796875,0.99169921875
sandefjord,step64,15,0.8809814453125,0.993359375
sandefjord,step64,16,0.897216796875,0.99482421875
jackrabbits,step64,0,0.99951171875,0.99951171875
jackrabbits,step64,1,0.9744873046875,0.983203125
