word,revision,layer,P1,P2
dunnington,step64,0,0.99951171875,0.99951171875
dunnington,step64,1,0.92431640625,0.9482421875
dunnington,step64,2,0.8583984375,0.92666015625
dunnington,step64,3,0.81787109375,0.9162109375
dunnington,step64,4,0.78955078125,0.9126953125
dunnington,step64,5,0.77685546875,0.9109375
dunnington,step64,6,0.7626953125,0.912109375
dunnington,step64,7,0.76953125,0.91689453125
dunnington,step64,8,0.7783203125,0.92099609375
dunnington,step64,9,0.796875,0.9283203125
dunnington,step64,10,0.82177734375,0.93662109375
dunnington,step64,11,0.8427734375,0.945703125
dunnington,step64,12,0.86376953125,0.95390625
dunnington,step64,13,0.8828125,0.960546875
dunnington,step64,14,0.90087890625,0.9666015625
dunnington,step64,15,0.9189453125,0.97177734375
dunnington,step64,16,0.93408203125,0.976953125
cloverfield,step64,0,0.99951171875,0.99951171875
cloverfield,step64,1,0.9674072265625,0.99794921875
cloverfield,step64,2,0.9293212890625,0.99658203125
cloverfield,step64,3,0.8948974609375,0.996484375
cloverfield,step64,4,0.8665771484375,0.99619140625
cloverfield,step64,5,0.8565673828125,0.99638671875
cloverfield,step64,6,0.84619140625,0.996484375
cloverfield,step64,7,0.8426513671875,0.99697265625
cloverfield,step64,8,0.8453369140625,0.99716796875
cloverfield,step64,9,0.8531494140625,0.99765625
cloverfield,step64,10,0.8621826171875,0.9982421875
cloverfield,step64,11,0.869140625,0.998046875
cloverfield,step64,12,0.8797607421875,0.9982421875
cloverfield,step64,13,0.8909912109375,0.9986328125
cloverfield,step64,14,0.902587890625,0.99853515625
cloverfield,step64,15,0.91357421875,0.99912109375
cloverfield,step64,16,0.9261474609375,0.999609375
coleraine,step64,0,1.0009765625,1.0009765625
coleraine,step64,1,0.9617919921875,0.9951171875
coleraine,step64,2,0.9224853515625,0.9931640625
coleraine,step64,3,0.8919677734375,0.99189453125
coleraine,step64,4,0.8687744140625,0.9912109375
coleraine,step64,5,0.84716796875,0.990625
coleraine,step64,6,0.82958984375,0.99033203125
coleraine,step64,7,0.8255615234375,0.9908203125
coleraine,step64,8,0.8265380859375,0.991796875
coleraine,step64,9,0.8349609375,0.99248046875
coleraine,step64,10,0.8388671875,0.9927734375
coleraine,step64,11,0.8505859375,0.993359375
coleraine,step64,12,0.864990234375,0.99462890625
coleraine,step64,13,0.878173828125,0.99501953125
coleraine,step64,14,0.8934326171875,0.9958984375
coleraine,step64,15,0.9078369140625,0.99638671875
coleraine,step64,16,0.92041015625,0.99736328125
starfleet,step64,0,1.0,1.0
starfleet,step64,1,0.9765625,0.99453125
starfleet,step64,2,0.94970703125,0.99345703125
starfleet,step64,3,0.935302734375,0.99267578125
starfleet,step64,4,0.924072265625,0.99287109375
starfleet,step64,5,0.914306640625,0.993359375
starfleet,step64,6,0.909912109375,0.99375
starfleet,step64,7,0.91064453125,0.99404296875
starfleet,step64,8,0.913330078125,0.99462890625
starfleet,step64,9,0.917724609375,0.995703125
starfleet,step64,10,0.9248046875,0.99619140625
starfleet,step64,11,0.93017578125,0.996875
starfleet,step64,12,0.9365234375,0.99677734375
starfleet,step64,13,0.94287109375,0.9970703125
starfleet,step64,14,0.950927734375,0.997265625
starfleet,step64,15,0.95703125,0.9978515625
starfleet,step64,16,0.9638671875,0.998828125
encircling,step64,0,1.0,1.0
encircling,step64,1,0.9708251953125,0.9964192708333334
encircling,step64,2,0.9422607421875,0.9954427083333334
encircling,step64,3,0.9200439453125,0.9944661458333334
encircling,step64,4,0.9039306640625,0.9944661458333334
encircling,step64,5,0.8974609375,0.9943033854166666
encircling,step64,6,0.8984375,0.9949544270833334
encircling,step64,7,0.90087890625,0.9952799479166666
encircling,step64,8,0.9073486328125,0.9957682291666666
encircling,step64,9,0.91455078125,0.9962565104166666
encircling,step64,10,0.925537109375,0.9970703125
encircling,step64,11,0.9334716796875,0.9972330729166666
encircling,step64,12,0.941650390625,0.9973958333333334
encircling,step64,13,0.9486083984375,0.9978841145833334
encircling,step64,14,0.9561767578125,0.9983723958333334
encircling,step64,15,0.962158203125,0.9983723958333334
encircling,step64,16,0.9683837890625,0.9991861979166666
amahagger,step64,0,0.99951171875,0.99951171875
amahagger,step64,1,0.93701171875,0.922265625
amahagger,step64,2,0.8720703125,0.8806640625
amahagger,step64,3,0.8197021484375,0.86318359375
amahagger,step64,4,0.7822265625,0.8515625
amahagger,step64,5,0.75634765625,0.85068359375
amahagger,step64,6,0.73583984375,0.8517578125
amahagger,step64,7,0.7279052734375,0.85830078125
amahagger,step64,8,0.7281494140625,0.8671875
amahagger,step64,9,0.7445068359375,0.874609375
amahagger,step64,10,0.7615966796875,0.88818359375
amahagger,step64,11,0.779541015625,0.8998046875
amahagger,step64,12,0.799072265625,0.9099609375
amahagger,step64,13,0.819580078125,0.92119140625
amahagger,step64,14,0.8397216796875,0.93251953125
amahagger,step64,15,0.8619384765625,0.9421875
amahagger,step64,16,0.8798828125,0.95107421875
caracalla,step64,0,0.99951171875,0.99951171875
caracalla,step64,1,0.9490966796875,0.9798828125
caracalla,step64,2,0.90283203125,0.97001953125
caracalla,step64,3,0.866943359375,0.9650390625
caracalla,step64,4,0.83740234375,0.96240234375
caracalla,step64,5,0.8238525390625,0.963671875
caracalla,step64,6,0.8131103515625,0.96455078125
caracalla,step64,7,0.8033447265625,0.96650390625
caracalla,step64,8,0.799072265625,0.96787109375
caracalla,step64,9,0.796630859375,0.9701171875
caracalla,step64,10,0.8038330078125,0.97314453125
caracalla,step64,11,0.8126220703125,0.97724609375
caracalla,step64,12,0.825439453125,0.97978515625
caracalla,step64,13,0.8382568359375,0.9822265625
caracalla,step64,14,0.85498046875,0.98544921875
caracalla,step64,15,0.870361328125,0.9875
caracalla,step64,16,0.88671875,0.99033203125
pechenegs,step64,0,0.99951171875,0.99951171875
pechenegs,step64,1,0.9676513671875,0.9890950520833334
pechenegs,step64,2,0.9327392578125,0.9851888020833334
pechenegs,step64,3,0.9061279296875,0.9817708333333334
pechenegs,step64,4,0.8836669921875,0.9814453125
pechenegs,step64,5,0.865234375,0.9812825520833334
pechenegs,step64,6,0.86083984375,0.9820963541666666
pechenegs,step64,7,0.855224609375,0.9822591145833334
pechenegs,step64,8,0.8568115234375,0.9833984375
pechenegs,step64,9,0.861083984375,0.984375
pechenegs,step64,10,0.87060546875,0.9856770833333334
pechenegs,step64,11,0.8790283203125,0.9864908854166666
pechenegs,step64,12,0.8890380859375,0.9871419270833334
pechenegs,step64,13,0.9000244140625,0.9886067708333334
pechenegs,step64,14,0.91162109375,0.98974609375
pechenegs,step64,15,0.9222412109375,0.9908854166666666
pechenegs,step64,16,0.9332275390625,0.99267578125
volcanoes,step64,0,0.99951171875,0.99951171875
volcanoes,step64,1,0.9619140625,0.992578125
volcanoes,step64,2,0.9283447265625,0.9892578125
volcanoes,step64,3,0.90625,0.987890625
volcanoes,step64,4,0.8924560546875,0.98759765625
volcanoes,step64,5,0.8824462890625,0.98798828125
volcanoes,step64,6,0.878662109375,0.98896484375
volcanoes,step64,7,0.8785400390625,0.9896484375
volcanoes,step64,8,0.88427734375,0.990625
volcanoes,step64,9,0.8927001953125,0.9921875
volcanoes,step64,10,0.903564453125,0.99296875
volcanoes,step64,11,0.91162109375,0.9939453125
volcanoes,step64,12,0.9217529296875,0.994921875
volcanoes,step64,13,0.9302978515625,0.9958984375
volcanoes,step64,14,0.941162109375,0.9962890625
volcanoes,step64,15,0.94921875,0.99658203125
volcanoes,step64,16,0.95703125,0.9974609375
dharmendra,step64,0,0.99951171875,0.99951171875
dharmendra,step64,1,0.974365234375,0.995361328125
dharmendra,step64,2,0.940185546875,0.9927978515625
dharmendra,step64,3,0.919677734375,0.9921875
dharmendra,step64,4,0.904541015625,0.9921875
dharmendra,step64,5,0.89599609375,0.9923095703125
dharmendra,step64,6,0.892333984375,0.992919921875
dharmendra,step64,7,0.891357421875,0.9935302734375
dharmendra,step64,8,0.8955078125,0.9945068359375
dharmendra,step64,9,0.90478515625,0.9951171875
dharmendra,step64,10,0.91357421875,0.9959716796875
dharmendra,step64,11,0.922607421875,0.996337890625
dharmendra,step64,12,0.9306640625,0.9970703125
dharmendra,step64,13,0.939208984375,0.997314453125
dharmendra,step64,14,0.947265625,0.99755859375
dharmendra,step64,15,0.955810546875,0.9986572265625
dharmendra,step64,16,0.962646484375,0.998291015625
magdalena,step64,0,1.0,1.0
magdalena,step64,1,0.9556884765625,0.98017578125
magdalena,step64,2,0.912353515625,0.966796875
magdalena,step64,3,0.8829345703125,0.9630859375
magdalena,step64,4,0.8609619140625,0.9626953125
magdalena,step64,5,0.843017578125,0.96142578125
magdalena,step64,6,0.840576171875,0.9634765625
magdalena,step64,7,0.8455810546875,0.96552734375
magdalena,step64,8,0.85400390625,0.96884765625
magdalena,step64,9,0.86279296875,0.971484375
magdalena,step64,10,0.87841796875,0.97509765625
magdalena,step64,11,0.891845703125,0.97890625
magdalena,step64,12,0.904296875,0.98173828125
magdalena,step64,13,0.915283203125,0.98388671875
magdalena,step64,14,0.9278564453125,0.9865234375
magdalena,step64,15,0.939208984375,0.98896484375
magdalena,step64,16,0.9493408203125,0.99091796875
immorality,step64,0,0.99951171875,0.99951171875
immorality,step64,1,0.97705078125,0.99931640625
immorality,step64,2,0.9554443359375,0.99833984375
immorality,step64,3,0.9381103515625,0.998046875
immorality,step64,4,0.9244384765625,0.998046875
immorality,step64,5,0.9178466796875,0.998046875
immorality,step64,6,0.9150390625,0.99794921875
immorality,step64,7,0.9158935546875,0.9982421875
immorality,step64,8,0.9210205078125,0.9984375
immorality,step64,9,0.927734375,0.99912109375
immorality,step64,10,0.9356689453125,0.9994140625
immorality,step64,11,0.9417724609375,0.9990234375
immorality,step64,12,0.94775390625,0.998828125
immorality,step64,13,0.9539794921875,0.99921875
immorality,step64,14,0.9608154296875,0.99951171875
immorality,step64,15,0.9661865234375,0.99921875
immorality,step64,16,0.9720458984375,1.0
capillaria,step64,0,1.0,1.0
capillaria,step64,1,0.95068359375,0.98271484375
capillaria,step64,2,0.8990478515625,0.97421875
capillaria,step64,3,0.861328125,0.97080078125
capillaria,step64,4,0.8382568359375,0.97001953125
capillaria,step64,5,0.8145751953125,0.97060546875
capillaria,step64,6,0.81298828125,0.97177734375
capillaria,step64,7,0.81494140625,0.9736328125
capillaria,step64,8,0.8272705078125,0.97607421875
capillaria,step64,9,0.837890625,0.9791015625
capillaria,step64,10,0.8526611328125,0.98134765625
capillaria,step64,11,0.86669921875,0.98369140625
capillaria,step64,12,0.884765625,0.9861328125
capillaria,step64,13,0.8994140625,0.98779296875
capillaria,step64,14,0.9139404296875,0.98974609375
capillaria,step64,15,0.9273681640625,0.99130859375
capillaria,step64,16,0.9398193359375,0.99306640625
leavenworth,step64,0,0.9990234375,0.9990234375
leavenworth,step64,1,0.971435546875,0.99638671875
leavenworth,step64,2,0.937255859375,0.9951171875
leavenworth,step64,3,0.9078369140625,0.9939453125
leavenworth,step64,4,0.88818359375,0.99375
leavenworth,step64,5,0.875244140625,0.993359375
leavenworth,step64,6,0.8671875,0.99326171875
leavenworth,step64,7,0.8663330078125,0.994140625
leavenworth,step64,8,0.870361328125,0.994140625
leavenworth,step64,9,0.8787841796875,0.99482421875
leavenworth,step64,10,0.8887939453125,0.9951171875
leavenworth,step64,11,0.901611328125,0.99599609375
leavenworth,step64,12,0.914794921875,0.99658203125
leavenworth,step64,13,0.92626953125,0.99677734375
leavenworth,step64,14,0.9378662109375,0.99716796875
leavenworth,step64,15,0.9478759765625,0.99833984375
leavenworth,step64,16,0.9564208984375,0.99775390625
mysticism,step64,0,1.0,1.0
mysticism,step64,1,0.9600830078125,0.99638671875
mysticism,step64,2,0.9195556640625,0.9951171875
mysticism,step64,3,0.885986328125,0.9943359375
mysticism,step64,4,0.867431640625,0.99404296875
mysticism,step64,5,0.8582763671875,0.9943359375
mysticism,step64,6,0.855224609375,0.99453125
mysticism,step64,7,0.8538818359375,0.99482421875
mysticism,step64,8,0.8609619140625,0.99443359375
mysticism,step64,9,0.868896484375,0.99609375
mysticism,step64,10,0.883544921875,0.996484375
mysticism,step64,11,0.8970947265625,0.9966796875
mysticism,step64,12,0.9091796875,0.9974609375
mysticism,step64,13,0.9215087890625,0.99775390625
mysticism,step64,14,0.932373046875,0.99794921875
mysticism,step64,15,0.9422607421875,0.9986328125
mysticism,step64,16,0.9510498046875,0.9982421875
castellon,step64,0,1.0,1.0
castellon,step64,1,0.92919921875,0.9568359375
castellon,step64,2,0.862548828125,0.9390625
castellon,step64,3,0.80859375,0.9326171875
castellon,step64,4,0.778564453125,0.9296875
castellon,step64,5,0.74658203125,0.9255859375
castellon,step64,6,0.72412109375,0.92900390625
castellon,step64,7,0.71142578125,0.92978515625
castellon,step64,8,0.712890625,0.932421875
castellon,step64,9,0.718994140625,0.9375
castellon,step64,10,0.737548828125,0.9427734375
castellon,step64,11,0.75634765625,0.9478515625
castellon,step64,12,0.781005859375,0.95439453125
castellon,step64,13,0.8076171875,0.9603515625
castellon,step64,14,0.831298828125,0.9666015625
castellon,step64,15,0.854736328125,0.9728515625
castellon,step64,16,0.8740234375,0.97705078125
electropop,step64,0,0.99951171875,0.99951171875
electropop,step64,1,0.9576416015625,0.9890625
electropop,step64,2,0.9136962890625,0.98466796875
electropop,step64,3,0.88232421875,0.9826171875
electropop,step64,4,0.8487548828125,0.98212890625
electropop,step64,5,0.821044921875,0.98173828125
electropop,step64,6,0.8056640625,0.983203125
electropop,step64,7,0.7939453125,0.98466796875
electropop,step64,8,0.789306640625,0.98564453125
electropop,step64,9,0.78662109375,0.98720703125
electropop,step64,10,0.787841796875,0.98798828125
electropop,step64,11,0.795166015625,0.98994140625
electropop,step64,12,0.8057861328125,0.9912109375
electropop,step64,13,0.821044921875,0.9923828125
electropop,step64,14,0.837890625,0.994140625
electropop,step64,15,0.857177734375,0.99541015625
electropop,step64,16,0.876708984375,0.99658203125
conservatoire,step64,0,1.0,1.0
