word,revision,layer,P1,P2
eastenders,step64,0,1.0,1.0
eastenders,step64,1,0.954345703125,0.9978841145833334
eastenders,step64,2,0.909423828125,0.99658203125
eastenders,step64,3,0.874755859375,0.9954427083333334
eastenders,step64,4,0.8472900390625,0.99560546875
eastenders,step64,5,0.8336181640625,0.9954427083333334
eastenders,step64,6,0.8287353515625,0.99560546875
eastenders,step64,7,0.8345947265625,0.99609375
eastenders,step64,8,0.84130859375,0.9964192708333334
eastenders,step64,9,0.8526611328125,0.9969075520833334
eastenders,step64,10,0.8663330078125,0.9970703125
eastenders,step64,11,0.8804931640625,0.9978841145833334
eastenders,step64,12,0.8946533203125,0.9983723958333334
eastenders,step64,13,0.907470703125,0.99853515625
eastenders,step64,14,0.919677734375,0.9983723958333334
eastenders,step64,15,0.9312744140625,0.9988606770833334
eastenders,step64,16,0.9410400390625,0.9986979166666666
destroyers,step64,0,1.0,1.0
destroyers,step64,1,0.9208984375,0.998046875
destroyers,step64,2,0.8583984375,0.99697265625
destroyers,step64,3,0.8017578125,0.99638671875
destroyers,step64,4,0.77587890625,0.9962890625
destroyers,step64,5,0.765625,0.996484375
destroyers,step64,6,0.7578125,0.996875
destroyers,step64,7,0.76708984375,0.99755859375
destroyers,step64,8,0.78125,0.99794921875
destroyers,step64,9,0.791015625,0.9978515625
destroyers,step64,10,0.80859375,0.9984375
destroyers,step64,11,0.826171875,0.9984375
destroyers,step64,12,0.84521484375,0.99892578125
destroyers,step64,13,0.86083984375,0.99921875
destroyers,step64,14,0.876953125,0.99921875
destroyers,step64,15,0.89208984375,0.999609375
destroyers,step64,16,0.9072265625,0.99912109375
lactarius,step64,0,1.0,1.0
lactarius,step64,1,0.9619140625,0.9986328125
lactarius,step64,2,0.92333984375,0.9978515625
lactarius,step64,3,0.8932291666666666,0.997265625
lactarius,step64,4,0.8636067708333334,0.99697265625
lactarius,step64,5,0.85205078125,0.996875
lactarius,step64,6,0.8372395833333334,0.99697265625
lactarius,step64,7,0.8343098958333334,0.996875
lactarius,step64,8,0.83447265625,0.997265625
lactarius,step64,9,0.83984375,0.997265625
lactarius,step64,10,0.8486328125,0.99794921875
lactarius,step64,11,0.8626302083333334,0.9978515625
lactarius,step64,12,0.876953125,0.99775390625
lactarius,step64,13,0.8917643229166666,0.99853515625
lactarius,step64,14,0.9070638020833334,0.99853515625
lactarius,step64,15,0.9222005208333334,0.9990234375
lactarius,step64,16,0.93505859375,0.99951171875
pendleton,step64,0,1.0,1.0
pendleton,step64,1,0.9182942708333334,0.99755859375
pendleton,step64,2,0.8548177083333334,0.99658203125
pendleton,step64,3,0.8079427083333334,0.99609375
pendleton,step64,4,0.7726236979166666,0.9951171875
pendleton,step64,5,0.7439778645833334,0.99560546875
pendleton,step64,6,0.72900390625,0.9951171875
pendleton,step64,7,0.7273763020833334,0.99560546875
pendleton,step64,8,0.73388671875,0.99560546875
pendleton,step64,9,0.7478841145833334,0.99560546875
pendleton,step64,10,0.76025390625,0.99609375
pendleton,step64,11,0.7747395833333334,0.9970703125
pendleton,step64,12,0.79638671875,0.99755859375
pendleton,step64,13,0.8157552083333334,0.99755859375
pendleton,step64,14,0.8396809895833334,0.998046875
pendleton,step64,15,0.8623046875,0.998046875
pendleton,step64,16,0.8831380208333334,0.99951171875
fingleton,step64,0,1.0,1.0
fingleton,step64,1,0.96240234375,0.99951171875
fingleton,step64,2,0.92578125,1.0
fingleton,step64,3,0.8941650390625,0.99951171875
fingleton,step64,4,0.8690185546875,0.9990234375
fingleton,step64,5,0.8447265625,0.99951171875
fingleton,step64,6,0.822509765625,1.0
fingleton,step64,7,0.8094482421875,0.99951171875
fingleton,step64,8,0.8089599609375,0.99951171875
fingleton,step64,9,0.8123779296875,0.9990234375
fingleton,step64,10,0.8170166015625,0.9990234375
fingleton,step64,11,0.828857421875,1.0
fingleton,step64,12,0.8446044921875,0.99951171875
fingleton,step64,13,0.85888671875,0.99951171875
fingleton,step64,14,0.8760986328125,1.0
fingleton,step64,15,0.892822265625,1.0009765625
fingleton,step64,16,0.9078369140625,1.0
eminently,step64,0,1.0,1.0
eminently,step64,1,0.9708251953125,0.99921875
eminently,step64,2,0.9422607421875,0.99873046875
eminently,step64,3,0.927001953125,0.99833984375
eminently,step64,4,0.9161376953125,0.99814453125
eminently,step64,5,0.9110107421875,0.998828125
eminently,step64,6,0.9097900390625,0.99873046875
eminently,step64,7,0.9107666015625,0.99873046875
eminently,step64,8,0.9178466796875,0.9986328125
eminently,step64,9,0.92333984375,0.99931640625
eminently,step64,10,0.9317626953125,0.99931640625
eminently,step64,11,0.9385986328125,0.9994140625
eminently,step64,12,0.946044921875,0.99931640625
eminently,step64,13,0.9525146484375,0.99921875
eminently,step64,14,0.959716796875,0.999609375
eminently,step64,15,0.965576171875,0.99951171875
eminently,step64,16,0.9708251953125,0.99970703125
assyrians,step64,0,1.0,1.0
assyrians,step64,1,0.941650390625,0.9345703125
assyrians,step64,2,0.8865966796875,0.9013671875
assyrians,step64,3,0.85302734375,0.89013671875
assyrians,step64,4,0.8306884765625,0.880859375
assyrians,step64,5,0.8143310546875,0.88134765625
assyrians,step64,6,0.80615234375,0.88134765625
assyrians,step64,7,0.8087158203125,0.8896484375
assyrians,step64,8,0.8126220703125,0.89892578125
assyrians,step64,9,0.8310546875,0.91259765625
assyrians,step64,10,0.8516845703125,0.92529296875
assyrians,step64,11,0.8677978515625,0.9345703125
assyrians,step64,12,0.8841552734375,0.94482421875
assyrians,step64,13,0.8984375,0.95361328125
assyrians,step64,14,0.9150390625,0.9619140625
assyrians,step64,15,0.9281005859375,0.96923828125
assyrians,step64,16,0.9403076171875,0.974609375
bourgmont,step64,0,0.99951171875,0.99951171875
bourgmont,step64,1,0.9521484375,0.99638671875
bourgmont,step64,2,0.90625,0.9951171875
bourgmont,step64,3,0.8671875,0.99423828125
bourgmont,step64,4,0.842529296875,0.9939453125
bourgmont,step64,5,0.829345703125,0.99443359375
bourgmont,step64,6,0.810791015625,0.99404296875
bourgmont,step64,7,0.810546875,0.99384765625
bourgmont,step64,8,0.81640625,0.9947265625
bourgmont,step64,9,0.824951171875,0.99501953125
bourgmont,step64,10,0.84033203125,0.9958984375
bourgmont,step64,11,0.85595703125,0.9962890625
bourgmont,step64,12,0.874755859375,0.996484375
bourgmont,step64,13,0.889404296875,0.996875
bourgmont,step64,14,0.90673828125,0.99736328125
bourgmont,step64,15,0.9228515625,0.99794921875
bourgmont,step64,16,0.9365234375,0.99873046875
headdress,step64,0,1.0009765625,1.0009765625
headdress,step64,1,0.9625244140625,0.99755859375
headdress,step64,2,0.9267578125,0.99560546875
headdress,step64,3,0.8929443359375,0.99541015625
headdress,step64,4,0.882080078125,0.99560546875
headdress,step64,5,0.8673095703125,0.995703125
headdress,step64,6,0.86767578125,0.99560546875
headdress,step64,7,0.8656005859375,0.99580078125
headdress,step64,8,0.8712158203125,0.9962890625
headdress,step64,9,0.88037109375,0.99658203125
headdress,step64,10,0.8909912109375,0.996875
headdress,step64,11,0.9005126953125,0.99755859375
headdress,step64,12,0.912353515625,0.9974609375
headdress,step64,13,0.923095703125,0.99794921875
headdress,step64,14,0.9349365234375,0.998828125
headdress,step64,15,0.9444580078125,0.9986328125
headdress,step64,16,0.95361328125,0.99921875
earmarked,step64,0,0.99951171875,0.99951171875
earmarked,step64,1,0.958984375,0.99755859375
earmarked,step64,2,0.9202880859375,0.996875
earmarked,step64,3,0.8887939453125,0.996875
earmarked,step64,4,0.8656005859375,0.99580078125
earmarked,step64,5,0.8504638671875,0.9966796875
earmarked,step64,6,0.8392333984375,0.99638671875
earmarked,step64,7,0.8338623046875,0.9970703125
earmarked,step64,8,0.837158203125,0.99755859375
earmarked,step64,9,0.8421630859375,0.997265625
earmarked,step64,10,0.85546875,0.99833984375
earmarked,step64,11,0.8681640625,0.998046875
earmarked,step64,12,0.881591796875,0.99833984375
earmarked,step64,13,0.8924560546875,0.99873046875
earmarked,step64,14,0.9039306640625,0.9986328125
earmarked,step64,15,0.9156494140625,0.99931640625
earmarked,step64,16,0.9259033203125,0.99892578125
paddington,step64,0,0.99951171875,0.99951171875
paddington,step64,1,0.9482421875,0.98056640625
paddington,step64,2,0.90234375,0.975
paddington,step64,3,0.8695068359375,0.9728515625
paddington,step64,4,0.845458984375,0.97314453125
paddington,step64,5,0.8267822265625,0.9728515625
paddington,step64,6,0.814697265625,0.97294921875
paddington,step64,7,0.8089599609375,0.97373046875
paddington,step64,8,0.81103515625,0.9755859375
paddington,step64,9,0.822265625,0.97802734375
paddington,step64,10,0.83837890625,0.98056640625
paddington,step64,11,0.853759765625,0.98349609375
paddington,step64,12,0.87060546875,0.98623046875
paddington,step64,13,0.8856201171875,0.98828125
paddington,step64,14,0.902587890625,0.99033203125
paddington,step64,15,0.9158935546875,0.99208984375
paddington,step64,16,0.927978515625,0.99345703125
unaltered,step64,0,1.0,1.0
unaltered,step64,1,0.9664306640625,0.99658203125
unaltered,step64,2,0.92578125,0.9947265625
unaltered,step64,3,0.893798828125,0.9939453125
unaltered,step64,4,0.875,0.99384765625
unaltered,step64,5,0.8603515625,0.9939453125
unaltered,step64,6,0.851318359375,0.99462890625
unaltered,step64,7,0.8541259765625,0.99521484375
unaltered,step64,8,0.8577880859375,0.99521484375
